,TIME,birga_x,birga_y,rates_x,rates_y,valin_x,valin_y,valout_y,volume_x,volume_y,start,step,back,profit,perc
442,12:09:02,live,live,1.01091,1.00026,USD,USDT,USD,5.0,9.69024355,100.0,98.74303688542786,98.59124583251953,-1.408754167480467,-1.408754167480467
443,12:09:02,live,live,1.01091,1.00025,USD,USDT,USD,5.0,97.7999661,100.0,98.74303688542786,98.59026017633182,-1.4097398236681755,-1.4097398236681755
444,12:09:02,live,live,1.01092,1.00026,USD,USDT,USD,24.99554169,8.69229979,100.0,98.74206012132301,98.59027056992868,-1.409729430071323,-1.409729430071323
445,12:09:02,live,live,1.01092,1.00026,USD,USDT,USD,24.99554169,9.69024355,100.0,98.74206012132301,98.59027056992868,-1.409729430071323,-1.409729430071323
446,12:09:02,live,live,1.01092,1.00025,USD,USDT,USD,24.99554169,97.7999661,100.0,98.74206012132301,98.58928492349106,-1.4107150765089358,-1.4107150765089358
447,12:09:02,live,live,1.01092,1.00026,USD,USDT,USD,44.99554169,8.69229979,100.0,98.74206012132301,98.59027056992868,-1.409729430071323,-1.409729430071323
448,12:09:02,live,live,1.01092,1.00026,USD,USDT,USD,44.99554169,9.69024355,100.0,98.74206012132301,98.59027056992868,-1.409729430071323,-1.409729430071323
449,12:09:02,live,live,1.01092,1.00025,USD,USDT,USD,44.99554169,97.7999661,100.0,98.74206012132301,98.58928492349106,-1.4107150765089358,-1.4107150765089358
522,12:09:02,live,live,9549.99999,9439.03274747,USD,BTC,USDT,0.02199473,0.46501462,100.0,0.010452389897630553,98.48318080760569,-1.5168191923943084,-1.5168191923943084
523,12:09:02,live,live,9549.99999,9414.20830824,USD,BTC,USDT,0.02199473,0.46713545,100.0,0.010452389897630553,98.22417230508823,-1.7758276949117686,-1.7758276949117686
524,12:09:02,live,live,9549.99999,9358.92412614,USD,BTC,USDT,0.02199473,0.4839912,100.0,0.010452389897630553,97.64735874301915,-2.3526412569808457,-2.3526412569808457
525,12:09:02,live,live,9550.0,9439.03274747,USD,BTC,USDT,0.02615478,0.46501462,100.0,0.010452389886685641,98.48318070448194,-1.5168192955180615,-1.5168192955180615
526,12:09:02,live,live,9550.0,9414.20830824,USD,BTC,USDT,0.02615478,0.46713545,100.0,0.010452389886685641,98.22417220223569,-1.7758277977643075,-1.7758277977643078
527,12:09:02,live,live,9550.0,9358.92412614,USD,BTC,USDT,0.02615478,0.4839912,100.0,0.010452389886685641,97.6473586407706,-2.352641359229395,-2.352641359229395
528,12:09:02,live,live,9553.37954,9439.03274747,USD,BTC,USDT,0.03185478,0.46501462,100.0,0.01044869231876533,98.448341949555,-1.551658050444999,-1.551658050444999
529,12:09:02,live,live,9553.37954,9414.20830824,USD,BTC,USDT,0.03185478,0.46713545,100.0,0.01044869231876533,98.18942507243366,-1.8105749275663356,-1.8105749275663356
530,12:09:02,live,live,9553.37954,9358.92412614,USD,BTC,USDT,0.03185478,0.4839912,100.0,0.01044869231876533,97.6128155606973,-2.3871844393027004,-2.3871844393027004
531,12:09:02,alfa,live,0.0194,0.01923073,USD,PZM,USDT,1522.00027196,109.7859082,100.0,5145.377495765354,98.77157653138318,-1.2284234686168247,-1.2284234686168247
532,12:09:02,alfa,live,0.0194,0.0192,USD,PZM,USDT,1522.00027196,187.44896199,100.0,5145.377495765354,98.61374318096905,-1.3862568190309474,-1.3862568190309474
533,12:09:02,alfa,live,0.0194,0.01905,USD,PZM,USDT,1522.00027196,537.44896199,100.0,5145.377495765354,97.84332331236774,-2.156676687632256,-2.156676687632256
534,12:09:02,alfa,hot,0.0194,0.02024665,USD,PZM,USDT,1522.00027196,44.92,100.0,5145.377495765354,103.98947621744621,3.98947621744621,3.9894762174462106
535,12:09:02,alfa,hot,0.0194,0.02004618,USD,PZM,USDT,1522.00027196,97.3,100.0,5145.377495765354,102.95983574372282,2.95983574372282,2.95983574372282
536,12:09:02,alfa,hot,0.0194,0.01984771,USD,PZM,USDT,1522.00027196,153.77,100.0,5145.377495765354,101.94046753491415,1.9404675349141485,1.9404675349141487
537,12:09:02,alfa,live,0.0195,0.01923073,USD,PZM,USDT,1851.23949019,109.7859082,100.0,5118.990944505019,98.26505562609404,-1.734944373905961,-1.7349443739059607
538,12:09:02,alfa,live,0.0195,0.0192,USD,PZM,USDT,1851.23949019,187.44896199,100.0,5118.990944505019,98.1080316774769,-1.8919683225230983,-1.8919683225230983
539,12:09:02,alfa,live,0.0195,0.01905,USD,PZM,USDT,1851.23949019,537.44896199,100.0,5118.990944505019,97.34156267999663,-2.6584373200033724,-2.6584373200033724
540,12:09:02,alfa,hot,0.0195,0.02024665,USD,PZM,USDT,1851.23949019,44.92,100.0,5118.990944505019,103.45619685222853,3.45619685222853,3.45619685222853
541,12:09:02,alfa,hot,0.0195,0.02004618,USD,PZM,USDT,1851.23949019,97.3,100.0,5118.990944505019,102.4318365860627,2.431836586062701,2.431836586062701
542,12:09:02,alfa,hot,0.0195,0.01984771,USD,PZM,USDT,1851.23949019,153.77,100.0,5118.990944505019,101.41769590652997,1.4176959065299712,1.4176959065299712
543,12:09:02,alfa,live,0.0195,0.01923073,USD,PZM,USDT,2449.85625134,109.7859082,100.0,5118.990944505019,98.26505562609404,-1.734944373905961,-1.7349443739059607
544,12:09:02,alfa,live,0.0195,0.0192,USD,PZM,USDT,2449.85625134,187.44896199,100.0,5118.990944505019,98.1080316774769,-1.8919683225230983,-1.8919683225230983
